SNo,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,PE Ratio,Face Value,OPS,NOPS,NPM
89,10-Aug-20,EQ,"2,318.00","2,325.00","2,276.05","2,295.35","2,283.00","2,282.80","2,301.82","2,358.00","1,506.05",2929385,"6,742,908,492.05",83569,25.75361011,1,112.22,418.26,20.6
90,11-Aug-20,EQ,"2,283.00","2,312.00","2,275.60","2,282.80","2,282.50","2,279.90","2,290.19","2,358.00","1,506.05",2774509,"6,354,160,531.35",91227,25.7208935,1,112.22,418.26,20.6
91,12-Aug-20,EQ,"2,288.35","2,296.40","2,246.55","2,279.90","2,262.00","2,257.35","2,265.65","2,358.00","1,506.05",3415766,"7,738,926,541.25",101021,25.46649368,1,112.22,418.26,20.6
92,13-Aug-20,EQ,"2,273.00","2,300.00","2,250.50","2,257.35","2,260.00","2,254.45","2,270.22","2,358.00","1,506.05",2695682,"6,119,799,488.95",105012,25.43377708,1,112.22,418.26,20.6
93,14-Aug-20,EQ,"2,277.00","2,281.30","2,233.10","2,254.45","2,243.85","2,242.15","2,256.40","2,358.00","1,506.05",2270405,"5,122,949,862.65",95783,25.29501354,1,112.22,418.26,20.6
94,17-Aug-20,EQ,"2,263.00","2,270.00","2,238.25","2,242.15","2,260.50","2,253.40","2,253.53","2,358.00","1,506.05",2625670,"5,917,015,488.85",78270,25.42193141,1,112.22,418.26,20.6
95,18-Aug-20,EQ,"2,262.80","2,289.00","2,248.30","2,253.40","2,269.80","2,269.75","2,269.85","2,358.00","1,506.05",3493411,"7,929,511,706.25",123985,25.60638538,1,112.22,418.26,20.6
96,19-Aug-20,EQ,"2,276.35","2,284.60","2,252.50","2,269.75","2,260.00","2,256.60","2,264.81","2,358.00","1,506.05",2843007,"6,438,870,077.15",87911,25.45803249,1,112.22,418.26,20.6
97,20-Aug-20,EQ,"2,257.00","2,276.55","2,240.05","2,256.60","2,249.00","2,252.85","2,255.13","2,358.00","1,506.05",2895265,"6,529,205,375.85",97538,25.41572653,1,112.22,418.26,20.6
98,21-Aug-20,EQ,"2,260.00","2,271.00","2,241.05","2,252.85","2,249.75","2,248.60","2,252.12","2,358.00","1,506.05",1975304,"4,448,615,242.40",76072,25.36777978,1,112.22,418.26,20.6
99,24-Aug-20,EQ,"2,250.60","2,259.95","2,230.00","2,248.60","2,250.25","2,248.10","2,245.05","2,358.00","1,506.05",2167987,"4,867,239,990.35",70491,25.36213899,1,112.22,418.26,20.6
100,25-Aug-20,EQ,"2,245.00","2,250.00","2,233.55","2,248.10","2,242.00","2,242.65","2,242.51","2,358.00","1,506.05",1663454,"3,730,304,574.90",65398,25.30065433,1,112.22,418.26,20.6
