SNo,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,PE Ratio,Face Value,OPS,NOPS,NPMP
77,23-Jul-20,EQ,"2,260.00","2,267.15","2,205.55","2,248.50","2,216.40","2,211.35","2,232.11","2,614.30","1,659.05",3936886,"8,787,544,292.75",171067,71.03597816,1,45.55,183.77,16.96
78,24-Jul-20,EQ,"2,200.00","2,220.00","2,168.05","2,211.35","2,209.00","2,209.30","2,192.34","2,614.30","1,659.05",4203390,"9,215,253,270.65",143884,70.97012528,1,45.55,183.77,16.96
79,27-Jul-20,EQ,"2,217.75","2,235.95","2,184.75","2,209.30","2,221.50","2,221.50","2,217.25","2,614.30","1,700.00",2209431,"4,898,869,145.15",97258,71.3620302,1,45.55,183.77,16.96
80,28-Jul-20,EQ,"2,230.95","2,244.90","2,211.05","2,221.50","2,243.50","2,242.55","2,233.78","2,614.30","1,700.00",1567889,"3,502,315,373.15",66747,72.03822679,1,45.55,183.77,16.96
81,29-Jul-20,EQ,"2,235.00","2,262.20","2,215.00","2,242.55","2,234.00","2,231.30","2,239.80","2,614.30","1,700.00",2404989,"5,386,685,442.65",99243,71.67683906,1,45.55,183.77,16.96
82,30-Jul-20,EQ,"2,231.30","2,238.05","2,190.10","2,231.30","2,194.00","2,195.60","2,214.19","2,614.30","1,700.00",2046188,"4,530,658,177.40",106202,70.53003534,1,45.55,183.77,16.96
83,31-Jul-20,EQ,"2,197.50","2,221.95","2,178.00","2,195.60","2,210.00","2,209.90","2,207.56","2,614.30","1,700.00",1715834,"3,787,813,006.35",59984,70.98939929,1,45.55,183.77,16.96
84,3-Aug-20,EQ,"2,209.80","2,223.05","2,188.55","2,209.90","2,204.50","2,204.50","2,206.87","2,614.30","1,707.70",1683798,"3,715,927,711.40",71787,70.81593318,1,45.55,183.77,16.96
85,4-Aug-20,EQ,"2,209.90","2,218.90","2,175.10","2,204.50","2,194.00","2,197.80","2,198.83","2,614.30","1,707.70",1981721,"4,357,467,200.90",107819,70.60070671,1,45.55,183.77,16.96
86,5-Aug-20,EQ,"2,202.00","2,209.90","2,181.05","2,197.80","2,199.50","2,194.55","2,193.71","2,614.30","1,707.70",1715481,"3,763,269,809.90",83530,70.49630581,1,45.55,183.77,16.96
87,6-Aug-20,EQ,"2,200.00","2,229.00","2,192.05","2,194.55","2,216.30","2,220.45","2,216.40","2,614.30","1,707.70",1824540,"4,043,910,044.35",103094,71.32830067,1,45.55,183.77,16.96
88,7-Aug-20,EQ,"2,223.00","2,234.80","2,205.00","2,220.45","2,208.80","2,210.55","2,221.76","2,614.30","1,707.70",1778051,"3,950,410,896.80",76506,71.01027947,1,45.55,183.77,16.96
89,10-Aug-20,EQ,"2,218.00","2,226.75","2,198.80","2,210.55","2,205.00","2,206.75","2,210.77","2,614.30","1,757.30",1476389,"3,263,954,492.55",67996,70.88821073,1,45.55,183.77,16.96
90,11-Aug-20,EQ,"2,209.05","2,233.00","2,206.00","2,206.75","2,212.75","2,210.65","2,218.18","2,614.30","1,757.30",1665204,"3,693,719,823.90",67354,71.01349181,1,45.55,183.77,16.96
91,12-Aug-20,EQ,"2,200.05","2,209.05","2,190.00","2,210.65","2,193.20","2,195.10","2,196.84","2,614.30","1,757.30",1170455,"2,571,302,253.00",68478,70.51397366,1,45.55,183.77,16.96
92,13-Aug-20,EQ,"2,200.00","2,217.00","2,190.95","2,195.10","2,199.45","2,198.65","2,199.54","2,614.30","1,757.30",1453429,"3,196,881,075.10",66643,70.62801156,1,45.55,183.77,16.96
93,14-Aug-20,EQ,"2,204.00","2,216.00","2,165.05","2,198.65","2,178.15","2,173.90","2,193.71","2,614.30","1,757.30",1341691,"2,943,280,016.70",70158,69.83295856,1,45.55,183.77,16.96
94,17-Aug-20,EQ,"2,181.00","2,203.65","2,168.40","2,173.90","2,201.50","2,196.05","2,185.61","2,614.30","1,757.30",1559579,"3,408,638,240.60",55914,70.54449084,1,45.55,183.77,16.96
95,18-Aug-20,EQ,"2,204.00","2,216.80","2,189.00","2,196.05","2,215.00","2,214.35","2,205.76","2,614.30","1,757.30",1339002,"2,953,510,616.95",58829,71.13234822,1,45.55,183.77,16.96
96,19-Aug-20,EQ,"2,206.00","2,221.50","2,190.00","2,214.35","2,196.00","2,193.60","2,203.99","2,614.30","1,757.30",1585132,"3,493,617,814.00",74502,70.46578863,1,45.55,183.77,16.96
97,20-Aug-20,EQ,"2,186.00","2,197.80","2,176.15","2,193.60","2,184.80","2,185.70","2,188.20","2,614.30","1,757.30",1768939,"3,870,786,400.70",84041,70.21201413,1,45.55,183.77,16.96
98,21-Aug-20,EQ,"2,199.00","2,208.70","2,187.45","2,185.70","2,204.75","2,202.05","2,200.31","2,614.30","1,757.30",1374412,"3,024,136,604.60",52443,70.73723097,1,45.55,183.77,16.96
99,24-Aug-20,EQ,"2,206.00","2,211.65","2,191.20","2,202.05","2,195.90","2,194.40","2,196.60","2,614.30","1,757.30",1665474,"3,658,388,161.25",72008,70.49148731,1,45.55,183.77,16.96
