SNo,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,PE Ratio,Face Value,OPS,NOPS,NPM
90,11-Aug-20,EQ,"1,048.50","1,071.00","1,048.50","1,050.65","1,070.95","1,066.65","1,062.91","2,288.80",738.75,10068150,"10,701,552,832.20",157609,22.221875,1,96.97,222.84,22.3
91,12-Aug-20,EQ,"1,065.00","1,066.00","1,048.00","1,066.65","1,063.00","1,063.70","1,057.73","2,288.80",738.75,10333222,"10,929,750,519.45",158659,22.16041667,1,96.97,222.84,22.3
92,13-Aug-20,EQ,"1,067.95","1,071.35","1,056.50","1,063.70","1,060.95","1,059.05","1,063.05","2,288.80",738.75,9946370,"10,573,451,442.80",128692,22.06354167,1,96.97,222.84,22.3
93,14-Aug-20,EQ,"1,065.90","1,065.90","1,027.30","1,059.05","1,035.00","1,034.45","1,047.20","2,288.80",738.75,10462350,"10,956,159,018.35",213350,21.55104167,1,96.97,222.84,22.3
94,17-Aug-20,EQ,"1,047.00","1,047.00","1,020.20","1,034.45","1,034.00","1,032.75","1,031.26","2,288.80",738.75,9780591,"10,086,346,720.35",175355,21.515625,1,96.97,222.84,22.3
95,18-Aug-20,EQ,"1,028.00","1,061.65","1,022.00","1,032.75","1,056.60","1,056.50","1,044.74","2,288.80",738.75,12020562,"12,558,337,618.40",193067,22.01041667,1,96.97,222.84,22.3
96,19-Aug-20,EQ,"1,065.00","1,069.80","1,056.25","1,056.50","1,065.95","1,066.60","1,063.75","2,288.80",738.75,8858056,"9,422,741,414.60",157562,22.22083333,1,96.97,222.84,22.3
97,20-Aug-20,EQ,"1,054.95","1,068.95","1,052.00","1,066.60","1,057.35","1,059.00","1,059.30","2,288.80",738.75,9608591,"10,178,400,071.80",149244,22.0625,1,96.97,222.84,22.3
98,21-Aug-20,EQ,"1,065.40","1,088.80","1,064.60","1,059.00","1,085.70","1,085.65","1,081.52","2,288.80",738.75,14462237,"15,641,184,568.60",228261,22.61770833,1,96.97,222.84,22.3
99,24-Aug-20,EQ,"1,086.00","1,122.95","1,085.65","1,085.65","1,114.80","1,117.05","1,112.49","2,288.80",738.75,18389929,"20,458,608,459.75",282003,23.271875,1,96.97,222.84,22.3
100,25-Aug-20,EQ,"1,119.00","1,127.00","1,106.20","1,117.05","1,120.75","1,119.70","1,116.31","2,288.80",738.75,13800972,"15,406,108,014.20",206191,23.32708333,1,96.97,222.84,22.3
101,26-Aug-20,EQ,"1,121.00","1,131.75","1,109.50","1,119.70","1,118.50","1,118.45","1,118.92","2,288.80",738.75,12595131,"14,092,892,254.10",164529,23.30104167,1,96.97,222.84,22.3
102,27-Aug-20,EQ,"1,125.80","1,129.90","1,106.25","1,118.45","1,114.35","1,112.10","1,117.89","2,288.80",738.75,10323015,"11,540,043,391.20",184107,23.16875,1,96.97,222.84,22.3
103,28-Aug-20,EQ,"1,111.95","1,125.00","1,095.00","1,112.10","1,117.60","1,114.50","1,111.75","2,288.80",738.75,19349069,"21,511,391,001.70",260599,23.21875,1,96.97,222.84,22.3
104,31-Aug-20,EQ,"1,129.50","1,148.80","1,100.70","1,114.50","1,111.65","1,115.85","1,126.33","2,288.80",738.75,19250721,"21,682,636,226.80",267840,23.246875,1,96.97,222.84,22.3
105,1-Sep-20,EQ,"1,128.00","1,143.60","1,108.00","1,115.85","1,123.95","1,127.30","1,128.00","2,288.80",738.75,14438949,"16,287,152,244.45",217329,23.48541667,1,96.97,222.84,22.3
106,2-Sep-20,EQ,"1,124.10","1,139.00","1,120.70","1,127.30","1,133.70","1,134.15","1,130.82","2,288.80",738.75,9880855,"11,173,484,461.95",137409,23.628125,1,96.97,222.84,22.3
107,3-Sep-20,EQ,"1,137.25","1,145.95","1,128.00","1,134.15","1,130.35","1,130.90","1,138.33","2,288.80",738.75,9916701,"11,288,501,148.90",164687,23.56041667,1,96.97,222.84,22.3
108,4-Sep-20,EQ,"1,110.00","1,125.40","1,104.40","1,130.90","1,119.00","1,119.30","1,114.55","2,288.80",738.75,11830686,"13,185,884,649.25",215475,23.31875,1,96.97,222.84,22.3
109,7-Sep-20,EQ,"1,116.30","1,119.50","1,099.00","1,119.30","1,112.00","1,110.50","1,109.77","2,288.80",738.75,8807764,"9,774,635,499.85",165759,23.13541667,1,96.97,222.84,22.3
110,8-Sep-20,EQ,"1,114.00","1,118.80","1,103.00","1,110.50","1,112.05","1,112.45","1,112.00","2,288.80",738.75,7312460,"8,131,452,200.70",160085,23.17604167,1,96.97,222.84,22.3
111,9-Sep-20,EQ,"1,101.00","1,110.00","1,091.25","1,112.45","1,095.95","1,096.50","1,099.31","2,288.80",738.75,7864545,"8,645,552,641.80",136765,22.84375,1,96.97,222.84,22.3
112,10-Sep-20,EQ,"1,103.00","1,104.85","1,084.00","1,096.50","1,091.95","1,090.55","1,095.11","2,288.80",738.75,7594209,"8,316,493,920.50",132365,22.71979167,1,96.97,222.84,22.3
113,11-Sep-20,EQ,"1,096.45","1,104.85","1,071.00","1,090.55","1,080.50","1,078.65","1,083.30","2,288.80",738.75,10397545,"11,263,633,320.80",201271,22.471875,1,96.97,222.84,22.3
114,14-Sep-20,EQ,"1,088.00","1,094.00","1,052.35","1,078.65","1,057.05","1,057.95","1,073.19","2,262.65",738.75,10825874,"11,618,227,245.70",215379,22.040625,1,96.97,222.84,22.3
115,15-Sep-20,EQ,"1,068.00","1,076.15","1,058.10","1,057.95","1,073.70","1,070.50","1,066.57","2,262.65",738.75,8252566,"8,801,920,567.75",147079,22.30208333,1,96.97,222.84,22.3
116,16-Sep-20,EQ,"1,070.20","1,096.00","1,068.35","1,070.50","1,092.50","1,093.65","1,084.56","2,262.65",738.75,9355126,"10,146,158,177.20",169907,22.784375,1,96.97,222.84,22.3
117,17-Sep-20,EQ,"1,084.00","1,094.00","1,078.00","1,093.65","1,085.50","1,083.60","1,087.14","2,262.65",738.75,9159413,"9,957,605,566.05",130623,22.575,1,96.97,222.84,22.3
118,18-Sep-20,EQ,"1,092.00","1,092.20","1,047.20","1,083.60","1,058.90","1,057.30","1,068.82","2,262.65",738.75,11740889,"12,548,919,022.40",194150,22.02708333,1,96.97,222.84,22.3
119,21-Sep-20,EQ,"1,055.00","1,071.35","1,041.50","1,057.30","1,042.10","1,049.30","1,058.70","1,305.50",738.75,9921439,"10,503,830,354.45",206109,21.86041667,1,96.97,222.84,22.3
120,22-Sep-20,EQ,"1,054.05","1,058.15","1,029.50","1,049.30","1,038.00","1,035.40","1,042.49","1,305.50",738.75,9310339,"9,705,907,839.55",218683,21.57083333,1,96.97,222.84,22.3
121,23-Sep-20,EQ,"1,046.00","1,055.00","1,034.35","1,035.40","1,048.95","1,047.25","1,046.38","1,305.50",738.75,8039935,"8,412,863,750.95",181416,21.81770833,1,96.97,222.84,22.3
122,24-Sep-20,EQ,"1,038.00","1,047.00","1,025.00","1,047.25","1,030.50","1,030.40","1,035.26","1,305.50",738.75,9904895,"10,254,115,892.95",198189,21.46666667,1,96.97,222.84,22.3
123,25-Sep-20,EQ,"1,050.00","1,051.95","1,025.65","1,030.40","1,042.55","1,044.00","1,038.13","1,305.50",738.75,10160775,"10,548,254,280.00",162790,21.75,1,96.97,222.84,22.3
124,28-Sep-20,EQ,"1,048.95","1,059.00","1,042.65","1,044.00","1,058.00","1,054.20","1,053.08","1,305.50",738.75,8076211,"8,504,877,498.60",133937,21.9625,1,96.97,222.84,22.3
125,29-Sep-20,EQ,"1,058.00","1,069.90","1,051.00","1,054.20","1,064.40","1,062.55","1,059.74","1,305.50",738.75,6322274,"6,699,937,414.90",106799,22.13645833,1,96.97,222.84,22.3
